Day of Date,Cases,CasesNumbers
31-Oct-20,,0
30-Oct-20,,0
29-Oct-20,3,3
28-Oct-20,2,2
27-Oct-20,2,2
26-Oct-20,,0
25-Oct-20,,0
24-Oct-20,7,7
23-Oct-20,5,5
22-Oct-20,1,1
21-Oct-20,5,5
20-Oct-20,3,3
19-Oct-20,,0
18-Oct-20,3,3
17-Oct-20,2,2
16-Oct-20,1,1
15-Oct-20,2,2
14-Oct-20,6,6
13-Oct-20,5,5
12-Oct-20,11,11
11-Oct-20,14,14
10-Oct-20,12,12
9-Oct-20,14,14
8-Oct-20,10,10
7-Oct-20,9,9
6-Oct-20,5,5
5-Oct-20,14,14
4-Oct-20,8,8
3-Oct-20,10,10
2-Oct-20,9,9
1-Oct-20,5,5
30-Sep-20,14,14
29-Sep-20,10,10
28-Sep-20,9,9
27-Sep-20,5,5
26-Sep-20,16,16
25-Sep-20,12,12
24-Sep-20,13,13
23-Sep-20,11,11
22-Sep-20,14,14
21-Sep-20,28,28
20-Sep-20,11,11
19-Sep-20,13,13
18-Sep-20,20,20
17-Sep-20,45,45
16-Sep-20,25,25
15-Sep-20,41,41
14-Sep-20,39,39
13-Sep-20,30,30
12-Sep-20,41,41
11-Sep-20,35,35
10-Sep-20,40,40
9-Sep-20,47,47
8-Sep-20,70,70
7-Sep-20,48,48
6-Sep-20,38,38
5-Sep-20,62,62
4-Sep-20,71,71
3-Sep-20,75,75
2-Sep-20,110,110
1-Sep-20,87,87
31-Aug-20,63,63
30-Aug-20,71,71
29-Aug-20,108,108
28-Aug-20,90,90
27-Aug-20,111,111
26-Aug-20,110,110
25-Aug-20,142,142
24-Aug-20,146,146
23-Aug-20,109,109
22-Aug-20,202,202
21-Aug-20,173,173
20-Aug-20,170,170
19-Aug-20,231,231
18-Aug-20,208,208
17-Aug-20,218,218
16-Aug-20,266,266
15-Aug-20,266,266
14-Aug-20,301,301
13-Aug-20,361,361
12-Aug-20,256,256
11-Aug-20,400,400
10-Aug-20,321,321
